patch_id,region,split,t1_path,t2_path,label_path,patch_size,n_bands,change_pixels,total_pixels,change_pct
western_ghats_train_00000,western_ghats,train,data/processed/patches/western_ghats/train/western_ghats_train_00000_t1.npy,data/processed/patches/western_ghats/train/western_ghats_train_00000_t2.npy,data/processed/patches/western_ghats/train/western_ghats_train_00000_label.npy,256,12,1413,65536,2.16
western_ghats_train_00001,western_ghats,train,data/processed/patches/western_ghats/train/western_ghats_train_00001_t1.npy,data/processed/patches/western_ghats/train/western_ghats_train_00001_t2.npy,data/processed/patches/western_ghats/train/western_ghats_train_00001_label.npy,256,12,1123,65536,1.71
western_ghats_train_00002,western_ghats,train,data/processed/patches/western_ghats/train/western_ghats_train_00002_t1.npy,data/processed/patches/western_ghats/train/western_ghats_train_00002_t2.npy,data/processed/patches/western_ghats/train/western_ghats_train_00002_label.npy,256,12,333,65536,0.51
western_ghats_train_00003,western_ghats,train,data/processed/patches/western_ghats/train/western_ghats_train_00003_t1.npy,data/processed/patches/western_ghats/train/western_ghats_train_00003_t2.npy,data/processed/patches/western_ghats/train/western_ghats_train_00003_label.npy,256,12,1519,65536,2.32
western_ghats_train_00004,western_ghats,train,data/processed/patches/western_ghats/train/western_ghats_train_00004_t1.npy,data/processed/patches/western_ghats/train/western_ghats_train_00004_t2.npy,data/processed/patches/western_ghats/train/western_ghats_train_00004_label.npy,256,12,174,65536,0.27
western_ghats_train_00005,western_ghats,train,data/processed/patches/western_ghats/train/western_ghats_train_00005_t1.npy,data/processed/patches/western_ghats/train/western_ghats_train_00005_t2.npy,data/processed/patches/western_ghats/train/western_ghats_train_00005_label.npy,256,12,1519,65536,2.32
western_ghats_train_00006,western_ghats,train,data/processed/patches/western_ghats/train/western_ghats_train_00006_t1.npy,data/processed/patches/western_ghats/train/western_ghats_train_00006_t2.npy,data/processed/patches/western_ghats/train/western_ghats_train_00006_label.npy,256,12,2320,65536,3.54
western_ghats_train_00007,western_ghats,train,data/processed/patches/western_ghats/train/western_ghats_train_00007_t1.npy,data/processed/patches/western_ghats/train/western_ghats_train_00007_t2.npy,data/processed/patches/western_ghats/train/western_ghats_train_00007_label.npy,256,12,1655,65536,2.53
western_ghats_train_00008,western_ghats,train,data/processed/patches/western_ghats/train/western_ghats_train_00008_t1.npy,data/processed/patches/western_ghats/train/western_ghats_train_00008_t2.npy,data/processed/patches/western_ghats/train/western_ghats_train_00008_label.npy,256,12,150,65536,0.23
western_ghats_train_00009,western_ghats,train,data/processed/patches/western_ghats/train/western_ghats_train_00009_t1.npy,data/processed/patches/western_ghats/train/western_ghats_train_00009_t2.npy,data/processed/patches/western_ghats/train/western_ghats_train_00009_label.npy,256,12,506,65536,0.77
